13.45,6.59,11.84,3.15,8.01,7.26,7.45,9.12,28.88,15.69,18.35,2.90,6.43,6.82,14.08,10.90,9.14,7.27,1
14.19,7.53,12.75,3.15,8.01,7.92,7.92,9.55,32.21,15.30,20.39,2.90,6.43,6.82,14.96,12.00,9.75,8.17,1
14.19,7.53,12.75,3.15,8.74,7.92,8.38,9.99,33.32,15.69,19.37,3.26,6.43,6.82,15.84,13.09,9.75,8.17,1
14.19,7.53,12.75,3.15,8.74,7.92,8.85,9.99,35.54,15.69,20.39,3.26,7.24,6.82,18.48,16.36,9.75,7.27,1
14.94,7.53,12.75,3.15,8.74,7.92,8.85,9.55,34.43,15.30,21.41,3.26,7.24,6.82,18.48,18.54,9.75,8.17,1
14.94,6.59,11.84,2.36,8.01,7.26,6.99,6.95,25.55,13.77,22.43,2.90,8.04,7.67,17.60,16.36,7.92,7.27,1
7.47,4.71,10.93,2.36,7.28,6.60,5.59,5.64,19.99,8.80,21.41,2.54,8.04,8.52,14.96,14.18,6.70,7.27,1
6.72,4.71,10.93,2.36,6.56,7.26,6.06,6.08,22.21,8.80,20.39,2.54,8.04,8.52,15.84,15.27,6.70,7.27,1
8.96,5.65,11.84,2.36,7.28,8.58,6.52,6.95,24.44,9.95,18.35,2.90,6.43,6.82,15.84,14.18,9.14,8.17,1
8.96,4.71,10.02,1.57,5.10,7.26,6.52,6.95,21.10,11.09,17.33,2.54,6.43,5.97,14.08,13.09,9.14,7.27,1
68.72,8.47,10.02,3.15,9.47,5.94,11.18,17.37,79.97,146.53,22.43,2.90,9.65,7.67,22.89,21.81,30.47,7.27,1
32.12,10.35,8.19,25.16,13.11,73.29,7.92,12.59,42.21,39.41,15.29,2.90,6.43,5.97,10.56,9.81,9.75,7.27,1
36.60,12.24,22.76,4.72,15.30,10.56,7.92,11.72,32.21,25.63,21.41,3.26,7.24,6.82,14.08,12.00,9.14,7.27,1
13.45,5.65,7.28,2.36,5.83,7.26,7.45,9.12,27.77,14.16,14.27,2.90,6.43,6.82,10.56,10.90,6.09,7.27,1
13.45,5.65,9.11,2.36,5.83,5.94,6.06,7.38,21.10,12.24,15.29,2.54,6.43,6.82,11.44,10.90,7.31,7.27,1
14.19,5.65,9.11,2.36,5.83,5.94,6.06,7.38,21.10,11.86,17.33,2.54,6.43,6.82,12.32,10.90,6.70,7.27,1
13.45,4.71,8.19,2.36,5.10,5.94,5.59,6.95,19.99,12.63,16.31,2.54,6.43,5.97,11.44,10.90,7.31,7.27,1
14.19,5.65,8.19,2.36,5.10,5.94,5.59,6.95,18.88,12.24,15.29,2.54,6.43,6.82,11.44,10.90,7.31,7.27,1
14.19,5.65,9.11,2.36,5.83,5.94,6.06,6.95,21.10,12.24,16.31,2.54,6.43,6.82,11.44,10.90,6.70,7.27,1
14.19,5.65,9.11,2.36,5.83,6.60,6.06,7.38,21.10,12.63,15.29,2.54,6.43,6.82,11.44,10.90,6.70,7.27,1
12.70,5.65,8.19,2.36,6.56,7.26,9.78,11.72,32.21,17.22,15.29,3.26,6.43,5.97,10.56,9.81,6.70,7.27,1
11.95,5.65,8.19,3.15,6.56,7.26,9.78,11.72,33.32,17.60,15.29,3.26,6.43,5.97,11.44,9.81,6.70,7.27,1
14.19,5.65,8.19,2.36,5.83,6.60,5.12,7.38,18.88,14.16,15.29,2.54,5.63,5.97,9.68,9.81,7.92,7.27,1
13.45,5.65,8.19,2.36,5.83,5.94,5.12,6.95,17.77,14.16,15.29,2.54,5.63,5.97,10.56,9.81,7.92,7.27,1
14.19,4.71,7.28,2.36,5.10,5.94,4.66,6.51,16.66,13.77,14.27,2.54,5.63,5.97,10.56,9.81,8.53,7.27,1
14.19,4.71,7.28,2.36,5.10,5.94,5.12,6.95,16.66,13.77,14.27,2.54,5.63,6.82,10.56,9.81,8.53,8.17,1
14.19,4.71,7.28,2.36,5.10,5.94,4.66,6.51,16.66,13.77,14.27,2.54,5.63,5.97,10.56,9.81,8.53,7.27,1
14.94,4.71,7.28,2.36,5.10,5.94,5.12,6.95,17.77,13.01,15.29,2.54,6.43,6.82,11.44,10.90,8.53,8.17,1
14.94,4.71,7.28,2.36,5.10,5.94,5.12,6.51,16.66,13.01,15.29,2.54,6.43,5.97,11.44,9.81,8.53,7.27,1
13.45,4.71,7.28,2.36,5.10,5.28,5.59,6.51,17.77,12.24,16.31,2.54,7.24,7.67,12.32,12.00,7.92,7.27,1
12.70,4.71,7.28,2.36,5.10,5.28,5.59,6.95,18.88,11.86,16.31,2.54,8.04,7.67,13.20,12.00,7.92,8.17,1
11.95,4.71,7.28,2.36,5.10,5.28,5.59,6.51,18.88,11.48,17.33,2.54,7.24,7.67,13.20,10.90,7.92,7.27,1
11.21,4.71,7.28,2.36,5.10,5.28,5.59,6.51,18.88,11.09,16.31,2.54,8.04,7.67,13.20,12.00,7.92,8.17,1
11.21,4.71,7.28,2.36,5.10,5.28,6.06,6.95,18.88,11.09,16.31,2.90,8.04,7.67,13.20,12.00,7.92,8.17,1
10.46,4.71,7.28,2.36,5.10,5.28,6.06,6.95,19.99,10.71,16.31,2.90,8.04,8.52,14.08,13.09,7.92,8.17,1
11.21,4.71,7.28,2.36,5.10,5.28,5.59,6.08,18.88,10.71,17.33,2.54,7.24,7.67,13.20,12.00,7.92,7.27,1
10.46,4.71,7.28,2.36,5.10,5.28,5.59,6.51,18.88,10.33,16.31,2.90,7.24,7.67,13.20,12.00,7.92,7.27,1
10.46,4.71,7.28,2.36,5.10,5.28,5.59,6.08,18.88,10.71,16.31,2.54,7.24,6.82,13.20,10.90,7.92,7.27,1
13.45,5.65,9.11,2.36,5.83,5.94,6.06,6.95,23.33,11.48,17.33,2.54,7.24,6.82,12.32,10.90,6.70,7.27,1
13.45,5.65,8.19,2.36,5.83,6.60,6.06,7.38,23.33,12.63,15.29,2.54,6.43,6.82,11.44,9.81,6.70,7.27,1
13.45,5.65,8.19,2.36,5.83,6.60,6.06,7.38,22.21,12.63,16.31,2.54,5.63,5.97,11.44,9.81,6.70,7.27,1
13.45,5.65,9.11,2.36,5.83,6.60,6.06,7.81,23.33,13.39,14.27,2.54,6.43,6.82,11.44,10.90,7.31,7.27,1
13.45,5.65,8.19,2.36,5.83,6.60,6.06,7.38,22.21,13.77,14.27,2.54,5.63,5.97,10.56,9.81,7.31,7.27,1
13.45,5.65,8.19,2.36,5.83,6.60,5.59,7.81,21.10,13.77,14.27,2.54,5.63,6.82,10.56,9.81,7.31,8.17,1
12.70,4.71,8.19,2.36,5.83,6.60,5.59,7.38,19.99,14.16,14.27,2.54,5.63,6.82,10.56,9.81,7.92,8.17,1
13.45,4.71,8.19,2.36,5.83,6.60,5.12,6.95,19.99,14.16,14.27,2.54,5.63,5.97,10.56,9.81,7.92,7.27,1
13.45,4.71,8.19,2.36,5.83,5.94,5.12,6.95,17.77,13.77,14.27,2.54,5.63,5.97,10.56,9.81,7.92,7.27,1
12.70,4.71,8.19,2.36,5.10,5.94,5.12,6.51,17.77,13.01,14.27,2.54,5.63,5.97,11.44,9.81,8.53,7.27,1
13.45,4.71,8.19,2.36,5.10,5.94,5.12,6.51,17.77,12.63,15.29,2.54,5.63,5.97,11.44,9.81,7.92,7.27,1
13.45,4.71,8.19,2.36,5.10,5.94,5.12,6.51,18.88,12.63,15.29,2.54,6.43,6.82,11.44,10.90,7.92,7.27,1
13.45,4.71,7.28,2.36,5.10,5.28,5.12,6.51,18.88,12.24,15.29,2.54,6.43,6.82,12.32,10.90,7.92,7.27,1
12.70,4.71,8.19,2.36,5.10,5.28,5.59,6.51,18.88,11.48,15.29,2.54,7.24,6.82,12.32,12.00,7.92,8.17,1
13.45,4.71,8.19,2.36,5.10,6.60,6.06,7.38,22.21,11.86,16.31,2.54,6.43,6.82,11.44,10.90,7.31,7.27,1
14.19,5.65,9.11,2.36,5.83,6.60,6.06,7.81,23.33,13.01,14.27,2.54,6.43,6.82,11.44,10.90,7.31,7.27,1
14.19,5.65,8.19,2.36,5.83,6.60,6.06,7.81,22.21,14.16,15.29,2.54,5.63,5.97,10.56,9.81,7.31,7.27,1
12.70,4.71,8.19,2.36,5.83,5.94,5.12,6.95,17.77,13.77,15.29,2.54,5.63,5.97,10.56,9.81,7.92,7.27,1
12.70,4.71,7.28,2.36,5.10,5.94,4.66,6.51,16.66,14.16,14.27,2.18,5.63,5.97,9.68,9.81,8.53,7.27,1
11.95,4.71,7.28,1.57,5.10,5.94,4.66,6.51,16.66,14.16,14.27,2.18,5.63,5.97,9.68,9.81,8.53,7.27,1
13.45,4.71,7.28,1.57,5.10,5.94,4.66,6.51,16.66,13.77,15.29,2.18,5.63,5.97,10.56,9.81,8.53,7.27,1
13.45,4.71,8.19,2.36,5.10,5.94,5.12,6.51,17.77,13.39,15.29,2.54,5.63,5.97,11.44,9.81,8.53,7.27,1
14.19,5.65,8.19,2.36,5.83,6.60,6.06,7.38,22.21,13.77,14.27,2.54,5.63,6.82,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,6.52,8.25,26.66,13.77,14.27,2.90,6.43,6.82,11.44,10.90,7.31,7.27,1
15.69,5.65,8.19,2.36,5.83,5.94,5.12,6.08,16.66,12.63,15.29,2.18,5.63,5.97,10.56,9.81,7.31,7.27,1
14.19,5.65,8.19,2.36,5.83,6.60,6.99,8.68,26.66,14.16,14.27,2.90,6.43,6.82,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,6.60,7.45,9.12,27.77,14.54,14.27,2.90,6.43,6.82,11.44,10.90,7.31,7.27,1
14.19,5.65,8.19,2.36,5.83,7.26,7.92,9.99,29.99,15.30,14.27,2.90,6.43,6.82,10.56,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.92,9.55,29.99,15.30,15.29,2.90,6.43,6.82,11.44,10.90,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.45,9.12,28.88,15.30,15.29,2.90,5.63,5.97,11.44,9.81,7.31,7.27,1
14.19,5.65,8.19,2.36,5.83,7.26,7.45,9.12,28.88,15.69,15.29,2.90,5.63,5.97,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.45,9.12,27.77,15.30,15.29,2.90,5.63,5.97,10.56,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.92,9.99,31.10,15.30,14.27,2.90,6.43,6.82,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.45,9.12,28.88,15.30,14.27,2.90,5.63,5.97,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.45,9.12,27.77,15.30,15.29,2.90,5.63,5.97,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.45,9.12,27.77,15.30,15.29,2.90,5.63,5.97,11.44,9.81,7.31,7.27,1
14.19,5.65,8.19,2.36,5.83,7.26,7.45,9.12,27.77,15.69,15.29,2.90,5.63,5.97,10.56,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.45,9.12,27.77,15.69,15.29,2.90,5.63,5.97,10.56,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.45,9.12,27.77,15.30,14.27,2.90,5.63,5.97,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.92,9.99,29.99,15.69,14.27,2.90,6.43,6.82,10.56,9.81,7.31,8.17,1
14.19,5.65,8.19,2.36,5.83,7.26,7.45,9.55,28.88,15.69,15.29,2.90,6.43,5.97,10.56,9.81,7.31,7.27,1
14.19,5.65,8.19,2.36,5.83,7.26,7.45,9.12,27.77,15.69,14.27,2.90,5.63,5.97,10.56,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,6.99,9.12,26.66,15.30,14.27,2.90,5.63,5.97,11.44,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,6.60,6.99,8.68,26.66,15.30,15.29,2.90,5.63,5.97,10.56,9.81,7.31,7.27,1
14.94,5.65,8.19,2.36,5.83,7.26,7.92,9.55,29.99,15.30,14.27,2.90,6.43,6.82,11.44,9.81,7.31,7.27,1
14.19,5.65,8.19,2.36,6.56,7.26,9.32,10.42,33.32,15.30,15.29,3.26,6.43,5.97,12.32,10.90,7.31,7.27,1
16.43,6.59,9.11,3.15,8.01,7.92,13.04,15.63,56.65,21.42,21.41,4.35,7.24,6.82,18.48,17.45,9.14,8.17,1
17.18,6.59,10.02,3.15,8.01,8.58,11.18,13.46,47.76,18.75,22.43,3.99,6.43,6.82,18.48,17.45,9.14,7.27,1
14.19,5.65,10.93,3.93,8.01,7.92,11.18,13.02,38.88,16.45,15.29,3.63,6.43,6.82,12.32,10.90,7.31,8.17,1
14.19,6.59,11.84,3.93,8.74,9.24,10.25,13.02,36.65,17.60,14.27,3.63,6.43,6.82,12.32,10.90,7.92,8.17,1
14.19,6.59,11.84,3.15,8.74,9.24,9.78,12.16,35.54,17.98,15.29,3.26,6.43,6.82,12.32,10.90,7.92,7.27,1
14.19,6.59,11.84,3.15,8.74,8.58,9.32,11.72,34.43,17.60,14.27,3.26,6.43,6.82,12.32,10.90,7.92,8.17,1
14.19,6.59,11.84,3.15,8.74,8.58,8.85,11.29,33.32,17.60,15.29,3.26,5.63,5.97,12.32,10.90,7.92,7.27,1
14.19,6.59,11.84,3.15,8.74,8.58,8.85,11.29,34.43,17.60,14.27,3.26,6.43,5.97,12.32,10.90,7.92,7.27,1
14.94,5.65,10.93,3.15,8.01,8.58,8.38,10.85,31.10,16.45,14.27,3.26,6.43,5.97,10.56,9.81,7.31,7.27,1
14.19,5.65,10.02,3.15,7.28,7.92,8.85,10.85,32.21,15.30,15.29,3.26,6.43,6.82,11.44,9.81,7.31,7.27,1
14.94,5.65,10.02,3.15,7.28,7.92,7.45,9.55,27.77,15.69,14.27,2.90,5.63,5.97,11.44,8.72,6.70,7.27,1
16.43,5.65,10.02,3.15,7.28,7.92,7.45,9.99,28.88,16.83,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.93,5.65,10.02,2.36,7.28,7.92,7.45,9.55,28.88,16.45,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.18,5.65,10.02,2.36,7.28,7.92,7.45,9.99,28.88,16.83,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.93,5.65,10.02,2.36,7.28,7.92,7.45,9.55,28.88,16.83,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.93,5.65,10.02,2.36,7.28,7.92,7.45,9.99,28.88,16.83,14.27,2.90,5.63,5.97,11.44,10.90,7.92,8.17,1
17.93,5.65,10.02,2.36,7.28,7.92,6.99,9.55,27.77,16.83,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.18,5.65,10.02,2.36,7.28,7.92,6.99,9.55,27.77,16.83,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.18,5.65,10.02,2.36,7.28,7.92,6.99,9.55,27.77,16.45,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.18,5.65,10.02,2.36,7.28,7.92,6.99,9.99,28.88,16.45,14.27,2.90,5.63,5.97,12.32,10.90,7.92,7.27,1
17.18,5.65,10.02,3.15,7.28,7.92,7.45,10.42,29.99,16.45,14.27,2.90,5.63,5.97,11.44,10.90,7.92,8.17,1
17.18,5.65,9.11,2.36,7.28,7.92,6.99,9.99,28.88,16.83,14.27,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.18,5.65,9.11,2.36,7.28,7.92,6.99,9.55,27.77,16.83,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.18,5.65,9.11,2.36,7.28,7.26,6.99,9.55,27.77,16.45,15.29,2.90,5.63,5.97,12.32,9.81,7.92,7.27,1
17.18,5.65,9.11,2.36,7.28,7.26,6.99,9.55,27.77,16.45,15.29,2.90,5.63,5.97,11.44,9.81,7.92,7.27,1
17.18,5.65,9.11,2.36,7.28,7.92,7.45,9.99,31.10,16.45,14.27,2.90,5.63,5.97,12.32,10.90,7.92,7.27,1
16.43,5.65,9.11,3.15,7.28,7.92,7.92,10.42,31.10,16.45,15.29,2.90,6.43,6.82,12.32,12.00,8.53,8.17,1
16.43,5.65,10.02,3.15,7.28,7.92,8.38,10.85,34.43,16.07,15.29,3.26,6.43,6.82,13.20,12.00,8.53,8.17,1
16.43,5.65,10.02,3.15,7.28,7.92,8.38,10.85,33.32,16.07,15.29,3.26,6.43,5.97,13.20,12.00,8.53,8.17,1
16.43,5.65,10.02,3.15,7.28,7.92,7.92,10.42,32.21,16.45,15.29,3.26,5.63,5.97,13.20,12.00,8.53,8.17,1
16.43,5.65,9.11,3.15,7.28,7.92,7.92,10.42,32.21,16.07,15.29,3.26,5.63,5.97,13.20,12.00,8.53,8.17,1
16.43,5.65,10.02,3.15,7.28,7.92,8.38,10.85,33.32,15.69,15.29,3.26,6.43,6.82,13.20,12.00,8.53,8.17,1
16.43,5.65,10.02,2.36,7.28,7.26,7.92,9.99,31.10,15.69,16.31,2.90,5.63,5.97,13.20,10.90,8.53,7.27,1
14.19,5.65,9.11,3.15,7.28,7.92,8.85,11.29,34.43,17.22,15.29,3.26,5.63,5.97,12.32,10.90,7.92,7.27,1
15.69,5.65,10.02,3.15,7.28,7.26,8.85,9.99,34.43,14.16,16.31,3.26,6.43,5.97,12.32,10.90,7.31,7.27,1
